en,ru
"Lavender, blue, yellow and my favorite pink- little faces bobbing in the biter wind.","Сиреневые, голубые, желтые и мои любимые розовые, как маленькие головки, кивающие на сильном ветру."
"Suddenly I slowed, stopped and stared at the lawn.","Вдруг я притормозила, остановилась и уставилась на лужайку."
Similar knowledge hubs have been established in Eastern Europe and West Africa.,Аналогичные центры знания были основаны в Восточной Европе и Западной Африке.
"His eyes are frantic, and his face is distorted with despair.","Глаза его безумны, и лицо искривлено отчаянием."
"In the day-time he handed the irons, and at night fetched the beer.","Днем он подавал утюги, а ночью бегал за пивом."
"I got an offer to take the helm, and gladly accepted it.","Мне предложили ее возглавить, и я с удовольствием согласился."
The role of the lawyer begins from the moment the child is taken to the police station.,Роль адвоката начинается с момента приведения ребенка в полицейский участок.
3. Phytates tightly bind to metal ions and make them unavailable for absorption.,3. Фитаты крепко связываются с ионами металла и делают их недоступными для всасывания.
15 I will most gladly spend and be spent for your souls.,15 Я же буду очень рад тратить себя и быть растраченным до конца за ваши души.
3. Try not to drink fluids after 8 p.m. This may reduce awakenings due to urination.,Откажитесь от приема любой жидкости после 8 часов вечера.
Little did she know that it was all part of the evil sword's plans.,"Она подозревала, что это является частью плана Меча Зла."
OMB and the agencies resolve many issues themselves.,Многие вопросы АБУ и агентства решают самостоятельно.
It plans to invest $300 million in the project within four years.,В течение четырех лет в этот проект планируется вложить около 300 млн. долл.
I recently had my personal best view of the Clown.,Недавно я получил лучший в моей практике вид Клоуна.
It was Nellie Bligh who struck you down in the churchyard that day.',Вас в тот день на кладбище стукнула Нелли Блай.
The most expensive energy resource up until September 2008 was oil.,Самым дорогостоящим энергоресурсом вплоть до сентября 2008 года была нефть.
Nobody needs to question Matt Mullenweg's authority with PHP.,Никто не станет подвергать сомнению авторитет Мэтта касательно PHP.
Because they perform much slower than simple PHP.,"Поскольку они выполняются гораздо медленнее, чем простой PHP код."
It'll save a great deal of time in the long run.,Это сохранит большое количество времени в долгосрочной перспективе.
But Cherie said yes and her fate was sealed.,А вот Чери сразу сказала да и ее судьба была предрешена.
Continuous dialogue as construed by the ICRC must be founded on a relationship of trust.,С позиции МККК продолжающийся диалог должен быть основан на доверительных отношениях.
It was believed that eye make-up could ward off evil spirits and improve the sight.,"Считалось, что макияж глаз может отвратить злых духов и улучшить зрение."
"Currently the plant, apart from LADA 4x4, is assembling LADA SAMARA 21099.","На сегодняшний день на заводе, помимо LADA 4x4, изготавливаются автомобили LADA SAMARA 21099."
Of course I would like to be happy more often then to be sad.,"Конечно, хотелось бы просто чаще радоваться, реже огорчаться."
"In the Navigation Pane, select the object that you want to export the data from.","В области навигации выделите объект, из которого необходимо экспортировать данные."
More than 70 students from different Ukrainian Higher Institutions took part in the Olympics.,В олимпиаде принимали участие более 70 человек из разных ВУЗов Украины.
"Therefore, we produce reliable, high quality and easy to use equipment.","Поэтому мы производим надежное, качественное и простое в использовании оборудование."
"The first married and died, and having no children left his wife to his brother.","Первый женился и умер бездетным, и вдова стала женой его брата."
"Ergot had a mysterious, contradictory reputation.",У спорыньи была таинственная и противоречивая репутация.
Nine others received long prison sentences.,Еще девять врачей были приговорены к длительным срокам тюремного заключения.
"In theory, the new investors' rights laws would protect businessmen and investors in Russia.","Теоретически, законы о правах инвесторов защитили бы бизнесменов и инвесторов в России."
"Its target bas never been the Jew, as a person, but racist Zionism. and undisguised aggression.","Ее мишенью никогда не были евреи как личности, но расистский сионизм и его неприкрытая агрессия."
"All along, the Palestinian dreamt of return.",Все без исключения палестинцы мечтали вернуться.
President Nursultan Nazarbayev started his working tour over Karaganda region on Friday.,Вчера началась рабочая поездка Президента Нурсултана Назарбаева по Карагандинской области.
"The event became the central in the chain of holiday events, devoted to the day of miner.","Это событие стало одним из центральных в череде праздничных мероприятий, посвященных Дню шахтера."
He says he will kill you with a knife or poison.,"Он говорит, что прирежет вас или отравит."
No container exists that will last as long as the radioactivity of its contents.,"Ни один контейнер не может быть столь же долговечен, как радиоактивность его содержимого."
After that I had the possibility to go to Lvov.,После чего получил возможность поехать во Львов.
Leave the detailed description of your Keyboard Spectator problem in the form below.,Оставьте подробное описание вашей проблемы с TrojanDownloader.VB.zg в нижеуказанной форме.
A nail was found embedded in a sandstone block from the Mesozoic Era.,"А в блоке песчаника с мезозоя нашли гвоздь, и подобных находок множество."
Standard anti-virus software can do nothing against malicious programs like Microgaming/Casino.,"Обычное антивирусное ПО бессильно против вредоносных таких программ, как Jurassic Park III."
What's new is that fraudsters are becoming increasingly brazen.,Только вот мошенники становятся все более дерзкими.
As a result it shaved a fraction of a centimetre off all its cutlery to cut weight.,"В результате авиакомпания решила сократить длину всех столовых приборов, чтобы сократить их вес."
Some of the creatures between Jedoga Shadowseeker and Herald Volazj have been removed.,Некоторое количество треш мобов между Джедогой и Глашатаем Волажем было убрано.
"As the artists themselves have admitted, they have stopped only to record a new album.","По признанию артистов, они останавливались только для того, чтобы сделать запись нового альбома."
"Mr. Bush did use tough language, demanding that Russia stop bombing.","Буш использовал жесткую риторику, требуя, чтобы Россия прекратила бомбардировки."
"So, substantially larger than we even thought we would go after initially.","То есть, размера намного большего, чем мы изначально планировали."
Progress on the promises will be reviewed in June 2006.,Продвижение в обещаниях будет пересмотрено в июне 2006 году.
"Write the words up on the board, regardless of whether they are correctly associated or not.","Напишите эти слова на доске, невзирая правильно ли они ассоциируются или нет."
"The Masai could not be persuaded to work for money, as they had no use for it.","Масаев не возможно было убедить работать за деньги, поскольку они ими не пользовались."
High schools were taken over by the government and college tuition was subsidized.,Обучение в школах и колледжах субсидировалось правительством.
Today I have met with the Pope and cardinal Sodano at Vatican.,Сегодня я встретился в Ватикане с Папой Римским и кардиналом Содано.
May be it has started when Kain killed Abel.,"Наверное, он начался тогда, когда Каин убил Авеля."
We are living in one and the same continent and that is why I speak for the uniting Eurasian idea.,"То есть мы живем на одном континенте, и поэтому я выступаю с объединительной идеей евразийства."
We recommend you to use StatBlaster Removal Tool for safe problem solution.,Мы рекомендуем использовать Утилиту для удаления GLITCH BOT для безопасного решения проблемы.
What you do when you begin to channel is to increase the number of synaptic pathways.,"Начиная осуществлять ченнелинг, вы увеличиваете число синаптических проводящих путей."
It is almost as if you have reached critical mass and the Hundredth Monkey Theory is activating.,"Он почти похож на то, что вы достигли критической массы и активировали Теорию Сотой Обезьяны."
"You expect to receive an answer, but hear only this wonderful laughter over your shoulder.","И ожидаете получить ответ, но за плечами слышите только чудесный смех."
"Before you answer, ask him what he thinks it is.","Перед тем как ответить, узнайте, что он знает об этом."
In the centre of the smoothly swept back yard was a great bonfire.,В центре гладко выметенного двора полыхал большой костер.
Financial Statement and Non-operating Items,Финансовая отчетность и показатели внереализационной деятельности компании
You have a better sound engine and all such things!,Имеет лучший звуковой движок и еще много чего.
You can do it at any place we stop during the journey in yurt complex and hotel.,"Это можно сделать только в юрточном комплексе, гостинице."
For more than four thousand years this Valley was used by local people for their customs.,На протяжении более чем 4 тысяч лет эта долина использовалась местными жителями для обрядов.
Soon scores of young men were taking to the roads.,Скоро многие молодые люди обратились к дорогам.
"But when Obama disappeared, he had yet to fulfill his task in the host country.","Но когда Обама удалился с форума, он еще не выполнил своей миссии в стране, где проходил Саммит."
"Even worse, business logic often makes its way into JSP pages, as shown in Listing 5.","Более того, бизнес логика часто работает именно в JSP страницах, как показано на Листинге 5."
"5,000 children are killed by parents or grandparents.",5 000 детей убиты родителями или бабушкой и дедушкой.
"Each week 1,600 more people go to jail than leave.",Каждую неделю еще 1 600 людей попадают в тюрьму.
The dictatorship has proved again that it rests only on force.,"Диктатура в очередной раз показала, что держится только на штыках."
The Wave Principle is a description of natural human behavior.,Принцип Волны это воссоздание естественного поведения человека.
They sleep in the cemeteries because they have no other shelter.,"Мужчины спят на кладбищах, т.к. у них нет др. укрытия."
"Young Belarusians have come to the concert in jeans, with jeans ribbons and blue bandanas.","Молодые белорусы пришли на концерт в джинсах, с джинсовыми лентами и в синих банданах."
"JN 6:49 Your forefathers ate the manna in the Desert, and they died.","49 Ваши праотцы ели манну в пустыне, однако они умерли."
"JN 6:66 Thereupon many of His disciples left Him and went away, and no longer associated with Him.",66 Тогда многие из Его учеников оставили Его и больше не ходили с Ним.
"The rooms are fitted with a fire detector, sprinklers and fire-resistant doors.","В номерах установлены детекторы дыма, опрыскиватели и огнестойкие двери."
"On October 21, Ereli directly addressed accusations of irregularities.",21 октября Эрели прямо высказался по вопросу о нарушениях.
"For more information about argument syntax, see Arguments for External Tools.",Дополнительные сведения о синтаксисе аргументов см. в подразделе Аргументы внешних инструментов.
"Above was the blue sky, and the stars, and all about the desert of the Pacific Ocean.","Над ним густая синева небес, звезды и, сколько глаз хватает, пустыня Тихого океана."
"Some blacksmithing recipes require leather, which you will need to buy from a skinner.","Некоторые рецепты кузнечного дела требуют кожу, которую надо будет купить у продавца кожи."
"To graduate from the incubator, a project must adapt to the so-called Apache way of doing things.","Чтобы успешно выйти из инкубатора, проект должен быть адаптирован к методам, принятым в Apache."
Encourages pro-active thinking and responsive programme delivery,Воспитывайте в своих работниках активное мышление и ответную реакцию.
Its success helped redefine how business in that industry is now conducted.,"Этот успех помог мне понять как вести бизнес в индустрии, в которой я работаю в настоящее время."
Adherence was poor and attrition was high in both groups.,Показатели не соблюдения рекомендаций и досрочного прекращения были высокими в обеих группах.
"The study was limited to women and followed 82,802 subjects.",Исследование было ограничено женщинами и задействовало 82802 субъектов.
"Some stimulation and tingling at 10 minutes, and I am apprehensive at this rapid onset.","Немного стимуляции и покалывания через 10 минут, и меня пугает такой быстрый приход."
No active oral level has ever been found.,Никакого уровня активности при пероральном приеме не обнаружено.
"Because exchange rates are set for EMU currencies, the wizard provides these rates.","Мастер предлагает обменные курсы, установленные для денежных единиц Европейского валютного союза."
"On April 19 he departed Kazakhstan for an unknown destination, the Kazakh Foreign Ministry said.","19 апреля Бакиев, по сообщению казахстанского МИД, отбыл из республики в неизвестном направлении."
The problem with Himalaya is not only the high altitudes but also a very unstable weather.,"Проблема Гималаев не только в высоте гор, но и в весьма неустойчивой погоде."
I can remember that they focused on the role of media in society.,"Припоминаю, что тогда делали акцент на роли медиа в обществе."
But tantra knows a deep center hidden behind your physical heart.,"Но тантра знает о глубоком центре, скрытом позади физического сердца."
"He may not be aware, but it is deep-rooted in his bones, in his very blood.","Он может и не осознавать этого, но это слово глубоко укоренено в его костях, в его крови."
You might not have observed why it is called the womb.,"Вы, возможно, не знаете, почему она называется утробой."
"The body has its own inner clock, it feels the hunger exactly at that time.","Тело имеет свои собственные внутренние часы, оно ощутит голод точно в это время."
"In 1925, the first hostel and school were constructed in Dushanbe.",В 1925 году было построено первое здание общежития и школы.
"13 And behold, the ten thousand of Gidgiddonah had fallen, and he also in the midst.","13 И вот, пало десять тысяч воинов Гидгидоны, а также и он среди них."
"They were still arguing, with vivid, passionate faces.","Они продолжали спорить оживленно, страстно."
What an incredible chance to work with such a great set of people.,Это был невероятный шанс поработать с такой большой аудиторией.
"Stock market intermediary, which executes commodity, futures and options in exchange trading","Биржевой посредник, совершающий товарные фьючерсные и опционные сделки в биржевой торговле"
In Russia the small Asiatic cockroach has everywhere driven before it its great congener.,В России маленький азиатский таракан повсеместно вытесняет своего крупного сородича.
The crisis will make their efforts more arduous.,Кризис существенно затруднит их усилия в сфере трудоустройства.
"Writer Yauhen Budinashad to live the country, as he saw no opportunities for further work.","Не видя возможностей для творческой деятельности, из страны уехал писатель Евгений Будинас."
Dire economic and social conditions continued to threaten political stability.,Тяжелейшие экономические и социальные условия продолжали угрожать политической стабильности.
In this example we'll use the AdventureWorks database from SQL Server 2005.,В данном примере мы будем использовать БД AdventureWorks из SQL Server 2005.
False opposition is a special case of partial opposition.,Ложная оппозиция это частный случай частичной оппозиции.
"In January, the government closed its offshore detention facility on the island nation of Nauru.",В январе правительство закрыло зарубежную тюрьму в островном государстве Науру.
"That is the definitive insight after 5,000 years of war on earth.",Это яркое озарение приходит к нам после 5.000 лет войн на Земле.
"In Canada, people are usually looking for French/English translation.",В Канаде часто необходимо переводить тексты с французского языка на английский язык.
"6. On the Security menu, click Permissions.",6. В меню Безопасность выберите пункт Разрешения.
At this moment Jesus was honored and blessed in a way no man ever has been.,"В этот момент Иисус был прославлен и благословлен так, как никогда не был ни один человек."
"After all, microbes reside in their hosts in order to gain from the exchange.","В результате, микробы поселяются в хозяине, чтобы получить преимущества от обмена."
A Russian Giant Tromps Onto The World Stage,Российский гигант вламывается на мировую арену
Metro fares are fixed and do not depend on the route or its length.,Стоимость проезда в метро фиксированная и не зависит от маршрута и его протяженности.
GnuCash and KMyMoney are not installed by default from the Live CD or the DVD.,GnuCash и KMyMoney не устанавливаются по умолчанию при установке Fedora с Live CD или DVD.
The Configuration window Intro provides a summary of what you can do.,В окне конфигурации вкладка Intro содержит список доступных функций.
The turn of the century brought with it new and varied challenges for the Alliance.,Новый век бросил Североатлантическому союзу новые и разнообразные вызовы.
NATO assumed leadership of ISAF in August 2003.,В августе 2003 года НАТО взяла на себя руководство ИСАФ.
"Today, this social problem afflicts a large number of Russians.",Сегодня эта социальная проблема поразила большинство россиян.
"But, regrettably, disseminating such projects on a large scale requires enormous funds.","Но, к сожалению, чтобы тиражировать такие проекты, нужны большие средства."
The motion for the rejection of the Bill was put to a vote.,Предложение отклонить законопроект было поставлено на голосование.
You don't hear us complaining about you leaving it down.,"Мы же не жалуемся, что ты оставила его опущенным."
"If you already know best how to do it, just do it yourself.","Если же ты знаешь как это сделать лучше всего, то сделай это сама."
"Women go days, weeks, months, without looking at it.","Женщины могут днями, неделями, месяцами на нее не смотреть."
And that closing off closed off my vitality and my life energy.,И отсутствие этого восприятия перекрывало мою жизнеспособность и жизненную энергию.
And so I tried to start off from my own thoughts.,Поэтому Я стараюсь отталкиваться от собственных мыслей.
Then re-inject the now cooled water for another pass through the subsurface.,Затем снова залить уже охлажденную воду для еще одного прохождения через подземное пространство.
The west in now at an extraordinary peak of power in relation to other civilizations.,По отношению к другим цивилизациям Запад находится сейчас на вершине своего могущества.
Everybody I knew tried to discourage me from going.,Все мои знакомые пытались убедить меня не ездить.
The sugar quota was cut while I was there.,"Квоты на поставки сахара были сокращены как раз, когда я находился там."
For these reasons the company successfully competes and improves financial performance.,Это дает возможность предприятию успешно конкурировать и повышать финансовые показатели.
There are great opportunities for successful expansion of the product range.,Имеются огромные возможности для успешного расширения торгового ассортимента.
"But contrary to myth, they have not brought an epidemic of murder and mayhem with them.","Но, вопреки мифологии, они не принесли с собой эпидемию убийств и грабежей."
Excess valuation may be declared on certain types of articles.,На некоторые типы вещи может быть заявлена дополнительная оценка.
Search time should usually be inversely proportional to the concentration of targets.,Время поиска должно быть обратно пропорционально концентрации объектов.
A multiple instance template looks similar to the following image.,"Шаблон нескольких экземпляров имеет вид, показанный на следующем изображении."
"He speaks with a woman, who glances at me several times.","Он говорит с женщиной, которая бросает на меня несколько взглядов."
"I am moving forward by then, for I know the answer before she says it.","При этом я двигаюсь вперед, так как знаю ответ наперед."
Long working days for poverty-level wages make heavy demands on the time and energy of women.,Долгие часы работы за нищенскую зарплату требуют огромных затрат времени и энергии женщин.
Also scripts allow eliminating the effect of human factor on trading results.,Так же скрипты помогают избежать влияния человеческого фактора на результаты торговли.
In no time after his release Mr. Kudinov gave his first ever interview at liberty.,Прямо у ворот Владимир Кудинов дал свое первое интервью на свободе.
I believe that we will live in a democratic state.,"Я верю, что мы будем жить в демократическом государстве."
Each mutation represents a different type of weapon and play style.,Все мутации соответствуют различным видам оружия и стилям игры.
The Earth will be reshaped to my Father's original design.,Земля будет преобразована согласно первоначальному проекту моего Отца.
"Luckily, the jQuery Tab control provides this functionality for me already.",К счастью jQuery Tab предоставляет нужную функциональность.
About half of people with bulimia recover completely with treatment.,"Около половины людей, страдающих булимией, полностью выздоравливают после лечения."
They also began to store information in crystals.,Они также стали складировать информацию в кристаллы.
This time the change is going to happen within you.,"В это время, изменения будут происходить внутри вас."
He deserves Europe's unequivocal gratitude for launching the ECB so successfully.,"Он, несомненно, заслуживает благодарность Европы за успешное начало деятельности ЕЦБ."
It was founded as a military outpost in 1818.,Он возник как военная крепость в 1818 году.
Forty percent move back home with their parents at least once.,Сорок процентов как минимум раз возвращаются к родителям.
It is a halo of light around a star in the Milky Way.,Это гало света вокруг одной из звезд Млечного пути.
Brand new multiplayer modes of the game even more drive.,Совершенно новые мультиплеерные режимы привнесут в игру еще больше драйва.
Samuel Huntington did alert us to the danger.,Сэмюэл Хантингтон предупреждал нас об опасности.
The Free Software movement wants to treat code like a book.,Движение Free Software рассматривает код как книгу.
Initiative group has published appeal to the journalists of Uzbekistan.,Инициативная группа опубликовала обращение к журналистам Узбекистана.
A week ago I happened to be in Sarajevo again - now as a peaceful tourist.,А неделю назад я опять побывал в Сараево уже как мирный турист.
This way the student is not given a distraction from the overall technique.,Таким способом новичок не отвлекается от всей техники.
All incoming mail must pass customs and any goods sent will be assessed customs duty.,Вся входящая корреспонденция и грузы проходит таможенный контроль и взимается таможенная пошлина.
Muslims in Ukraine have 391 communities and over 150 mosques.,В Украине 391 мусульманских общин и более 150 мечетей.
All apartments are equipped with state-of-the art access control system.,Все квартиры оснащены высокотехнологической системой контроля доступа.
"By March 1993, Jackson and the boy were together frequently and the sleepovers began.","В марте 1993 года, Майкл и мальчик часто были вместе и даже спали в одной комнате."
"Folb Management, a corporate real-estate agency, was one.","Корпоративное агентство по недвижимому имуществу Folb Manegement , было одним из них."
"He will begin to rescue Israel from the Philistines.""",Именно он начнет спасать Израиль от рук филистимлян.
"From the start it excluded the Palestinians, first from the economy and later from the land itself.","С самого начала он не допускал палестинцев в экономику, а потом и на саму землю."
"Yoga, as they say in India, is a marriage of spirit and matter.","Йога, как говорят в Индии, это брачный союз Духа и Материи."
Magnolias live up to 400 years and are symbols of peace and friendship.,Магнолии живут до 400 лет и являются символом мира и дружбы.
"Bust of Great Russian writers, such as Pushkin, Nekrasov, Dostoyevsky, are on the left and right.","На аллее стоят бюсты великих русских писателей Пушкина, Некрасова, Достоевского."
Key to SAP's open approach to computing is the SAP NetWeaver platform.,Ключевым компонентом для открытого подхода SAP к обработке данных является платформа SAP NetWeaver.
I had just completed my work and was on my way back home.,Я только что закончил свою работу и возвращался домой.
Let us first of all take inventory of all that we have with us.,"Давайте прежде всего сделаем инвентаризацию всего, что мы имеем."
The problem is that we value ourselves in pennies when we are worth a king's ransom.,"Проблема в том, что мы считаем себя мелкой монетой, в то время как мы очень высоко ценимся."
We are a unique hotel located in the centre of Vienna.,Этот уникальный отель расположен в центре Вены.
"On 3 March, the prisoners reportedly suspended their hunger strike.","Согласно сообщениям, 3 марта заключенные приостановили голодовку."
The epic conflict between mankind and the extraterrestrial Mytrans is reaching its peak.,Глобальный конфликт между человечеством и внеземной цивилизацией Mytrans достиг своего пика.
"But no matter what team we root for, we like a baseball cap the most when it's worn by a woman.","Но не важно, за какую команду мы болеем, мы любим бейсболку больше, когда она надета на женщине."
"One imagines the flash of the fairy eye, the stamp of the fairy foot.","Можно представить сверкание феиного глаза, топанье феиной ноги."
"When that happens, one can cling to the purpose, resist, and suffer.","Когда это случится, можно продолжать цепляться за свою цель, сопротивляться и страдать."
"Number, composition, competency and qualification of the teaching staff.","Количество, состав, компетентность и квалификация преподавателей."
"After World War II, the United States did not simply establish itself as the leading world power.",После Второй мировой войны Соединенные Штаты не просто заняли положение ведущей мировой державы.
The Domain Name Servers are located in thousands of organizations around the world.,Серверы имен доменов расположены в тысячах организаций по всему миру.
"I prefer the latter, because if the program crashes, it's better not to have left the file open.","Я предпочитаю второй способ, так как если программа вылетает, лучше не оставлять файл открытым."
ELECTRONIC PUBLISHING IN THE THIRD MILLENNIUM,ЭЛЕКТРОННАЯ ИЗДАТЕЛЬСКАЯ ДЕЯТЕЛЬНОСТЬ В ТРЕТЬЕМ ТЫСЯЧЕЛЕТИИ
Once the car was lighter and I got into my rhythm I was quite quick.,"Как только болид стал легче, я вошел в свой ритм и ехал весьма быстро."
The truth about heaven makes it one of the most exciting places imaginable.,"Истина о Небе делает его одним из самых потрясающих мест, какие только можно себе представить."
I believe the Lord will meet each one of us and show us through the Holy City.,"Я верю, что Господь встретит каждого из нас и проведет по Святому Городу."
We will grow up spiritually and intellectually.,Мы будем возрастать духовно и интеллектуально.
"Only in Indonesia, however, have the relations between the two ethnic communities become tense.",Однако отношения между этими этническими группами заметно накалились только в Индонезии.
6. Be engaged at least six months before you get married.,6. Делайте предложение по меньшей мере за шесть месяцев до свадьбы.
"30. In disagreements with loved ones, deal with the current situation.",30. В спорах с любимыми имейте дело с текущей ситуацией.
It revolves around the vast US military superiority and a technicist view.,Она формируется вокруг сильного военного превосходства США и отражает техническую точку зрения.
"At the end of December 2008, 3,321 permanent employees worked for Fendt.",В конце декабря 2008 году количество штаб сотрудников компании Fendt составляло 3321 человек.
Fendt sees potential on these markets for the future.,На этих рынках также есть определенный потенциал развития.
"On bimonthly basis ARIS issues its own information bulletin in Russian, Kyrgyz and English.","АРИС раз в 2 месяца издает собственный бюллетень на русском, кыргызском и английском языках."
Training in water testing and disinfection.,Тренинг по тестированию и обеззараживанию воды.
Investigations were implemented from July to October 2006.,Исследования проводились в период с июля по октябрь 2006 года.
The NGOs continued to provide trainings on various agricultural topics and issues.,Сотрудники НПО продолжали проведение тренингов по разным темам и направлениям сельского хозяйства.
The people were very interested in obtaining this in-kind credit.,Люди проявляли большой интерес к натуральному кредиту.
"When it comes to the desire for liberty and justice, there is no clash of civilizations.",Стремление к свободе и справедливости не может привести к столкновению цивилизаций.
"At the age of 94, he still spends the first two hours of his day exercising.",В возрасте 94 лет он все еще посвящает первые два часа своего дня тренировке.
The American recession in 1932 forced him to leave Chicago.,Великая депрессия 1932 года заставляет певца покинуть Чикаго.
Shariputra soon asked Buddha to formulate rules for a code of monastic discipline.,Вскоре Шарипутра попросил Будду сформулировать правила для кодекса монашеской дисциплины.
"Most of them, therefore, were more than content with the change in rulers.",И потому большинство обезьян было очень довольно сменой правителя.
Every good Christian must maintain that the second of these men is more virtuous than the first.,"Всякий добрый христианин обязан считать, что второй из этих людей добродетельнее первого."
We will have servers physically located both in Europe and North America for launch.,К моменту запуска сервера будут находиться в Европе и Северной Америке.
"There are two competing RSS specs, and there are multiple versions of each.","Существует две соперничающие спецификации RSS, причем каждая представлена несколькими вариантами."
RSS is even poised to change the business world.,С появлением RSS изменится даже мир бизнеса.
Joseph's valiant effort to save him went in vain.,Героические усилия Джозефа спасти друга ни к чему не привели.
His case inflamed the national debate over capital punishment versus rehabilitation.,Его дело породило общенациональные дебаты о соотношении смертной казни и реабилитации.
"Develop the quality of implicit obedience to the wishes of your mother, without a second thought.","Развивайте качество беспрекословного, не требующего раздумий повиновения словам своей матери."
Contemplation is high school education and meditation is college level education.,"Созерцание это средняя школа, а медитация это колледж."
All this will undoubtedly increase social unrest in the country.,Все это неизбежно обострит социальную ситуацию в стране.
"In judging others, you reflect your lack of self-acceptance.","Судя других, вы тем самым отражаете недостаток в самовосприятии."
"Probably the Volterra scene, where I have to step into the light.","Скорее всего это сцена в Вольтере, где я выхожу на солнечный свет."
"It was Wint, whom I knew from my visits to CERN, who introduced me to Eberstark.","Это был Винт, который узнав о моем визите в CERN, познакомил меня с Эберстарком."
Eberstark attributes his current marriage to a combination of astrology and Wim Klein.,Эберстарк приписывает свою последнюю женитьбу комбинации астрологии и Вима Клейна.
1915 As far as possible citizens should take an active part in public life.,"Граждане должны, насколько это возможно, принимать активное участие в общественной жизни."
However the opposition can only set up a background - not solve problems in Moscow.,"Однако оппозиция может только создать фон, не может решать вопросы в Москве."
On his way back he met Cornelius slouching down with his head between his shoulders.,"Поднимаясь на холм, он встретил Корнелиуса, который, втянув голову в плечи, спускался по склону."
